"Province","Employed","Unemployed","Discouraged work-seeker","Other not economically active","Unspecified","Not applicable","Total"
"Western Cape",2010697.4156982,552733.1387408,122753.1199101,1330518.8044977,0,1806031.8520054,5822734.3308521
"Eastern Cape",1028963.7061933,615848.8157591,306375.9746898,2001778.9305453,0,2609085.6260784,6562053.053266
"Northern Cape",282791.2562902,106723.41261,39912.56978,306290.7838901,0,410142.7222103,1145860.7447806
"Free State",649660.7618378,313793.2708799,99948.79837,732516.7390578,0,949670.2152741,2745589.7854196
"KwaZulu-Natal",2041580.5929649,1006408.5079901,488537.5825189,2943203.0412211,0,3787570.6944338,10267300.4191289
"North West",843368.7815887,387348.2748303,127489.59069,913527.1048287,0,1238218.7622066,3509952.5141444
"Gauteng",4467370.1463884,1598044.3779043,296450.17456,2468858.9622163,0,3441539.2774087,12272262.9384777
"Mpumalanga",969770.8595493,448126.1962497,150843.82964,1020805.6904996,0,1450392.1525171,4039938.7284558
"Limpopo",885873.8467598,565029.2274293,202780.2694298,1577755.5601106,0,2173428.8058108,5404867.7095404
"Total",13180077.367197,5594055.2224395,1835091.9095935,13295255.6167899,0,17866080.1081442,51770560.2241641
