FID,id,source,project,pcode,site_name,today,visit,status,geom,longitude,latitude,ward_name,village_name,site_status,site_type,site_registration,site_registration_reason,site_registration_date,site_registration_owner,site_access,workers_numb,women_numb,women_activity,children_numb,children_activity,tools,workers_accomodation,mineral_numb,mineral1_name,selling_points,processing_location,processing_steps,environment,environment_comment,conflict,conflict_comment,incident,incident_comment,authorities,authorities_freq,protection_quantity,protection_equipment,facilities
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6488,1,IPIS,IPIS - ZELA 2019,zwemine00001,Shadreck & anold tributery,2019-02-26,0,1,POINT (29.8083807174254 -20.2626996816414),29.80838072,-20.26269968,5,Village 7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6487,2,IPIS,IPIS - ZELA 2019,zwemine00002,Shabani 88,2019-02-20,1,1,POINT (30.107050455141 -20.3188134232487),30.10705046,-20.31881342,13,Machovo,Production,underground / Reef,Yes,,2019-02-03,Individual,Truck,4,1,Surface digging,0,,"Compressors Jack hammers Shovel,pulley,chisel",On site,1,Gold,Fidelity Directly,Milling point,,Yes,"Gulley erosion, land degradation",None,,None,,None,,Some of them,"Helmets, Gloves",In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6486,3,IPIS,IPIS - ZELA 2019,zwemine00003,Shabani 22,2019-02-20,0,1,POINT (30.1090656540823 -20.3175952395608),30.10906565,-20.31759524,13,Machovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6485,4,IPIS,IPIS - ZELA 2019,zwemine00004,Kenbright syndicate,2019-02-20,1,1,POINT (30.1185566256118 -20.3183808709138),30.11855663,-20.31838087,13,Hippo pools,Production,underground / Reef,Yes,,2007-01-06,Individual,Truck,4,0,,0,,"Compressors Jack hammers Pulleys, buckets, shovels, hammers",On site,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,Deforestation,Land disputes,Land disputes with other miners,None,,None,,All of them,Helmets Gumboots Facemasks,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6484,5,IPIS,IPIS - ZELA 2019,zwemine00005,Kamanga mine,2019-02-20,0,1,POINT (30.1015901299494 -20.3224733738912),30.10159013,-20.32247337,13,Machovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6483,6,IPIS,IPIS - ZELA 2019,zwemine00006,Umsungwe North A,2019-02-20,1,1,POINT (30.0767110416646 -20.3161642781007),30.07671104,-20.31616428,13,Kofi village,Production,underground / Reef,Yes,,2018-03-10,Individual,Truck,23,0,,0,,"Hammer,  Chisel",In a support village On site,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,Open pits ,None,,None,,CID Local authorities Police,Monthly,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6482,7,IPIS,IPIS - ZELA 2019,zwemine00007,Rednight E,2019-02-20,1,1,POINT (30.0838974030661 -20.3138051369052),30.0838974,-20.31380514,13,Kofi Village,Production,underground / Reef,Yes,,1990-02-20,Individual,Truck,14,10,Washing / sluicing Treating gold with mercury,,,"Ball mill,Serengeto",On site In a support village,1,Gold,Fidelity Directly,On site,Crushing Slicing Use of mercury Use of cyanide Elusion to separate gold from carbons,Yes,,None,,Loss of property,They lost generator a 250watts,EMA Police CID Min of Mines Local authorities,Weekly,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6481,8,IPIS,IPIS - ZELA 2019,zwemine00008,Y,2019-02-20,1,1,POINT (30.0812174786047 -20.3147270226383),30.08121748,-20.31472702,13,Kofi,Production,underground / Reef,Yes,,,Individual,Truck,6,0,,0,,"Jack hammers Compressors Hoist (winches) Generator,pumps,",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,None,,,Helmets Gumboots,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6480,9,IPIS,IPIS - ZELA 2019,zwemine00009,Rednight F,2019-02-20,1,1,POINT (30.0844899859981 -20.3130861604753),30.08448999,-20.31308616,13,Kofi,Production,underground / Reef,Yes,,1990-10-14,Individual,Truck,5,0,,0,,Jack hammers Compressors Hoist (winches),On site In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,Open pit,None,,None,,CID,Weekly,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-647f,17,IPIS,IPIS - ZELA 2019,zwemine00016,Abandoned,2019-02-20,0,1,POINT (30.0784686067056 -20.3205697931979),30.07846861,-20.32056979,8,Maglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-647e,10,IPIS,IPIS - ZELA 2019,zwemine00018,Redknight,2019-02-20,1,1,POINT (30.0761585181748 -20.3167842331833),30.07615852,-20.31678423,13,4miles,Production,underground / Reef,Yes,,,Individual,Truck,61,2,General hand,0,,Jack hammers Compressors Hoist (winches) Stamp mill,On site On a compound,1,Gold,Fidelity Directly,On site,Crushing Use of cyanide Elusion to separate gold from carbons,Yes,Open pits,Land disputes,Miners use force to mill first.artisanal miners use force themselves into the mine.,None,,EMA CID Min of Mines ZIMRA Local authorities,Monthly,All of them,Helmets Gumboots Worksuits (overalls) Gloves Facemasks Earmuffs,Pit latrines Showers
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-647d,11,IPIS,IPIS - ZELA 2019,zwemine00010,Red and white rose mine,2019-02-20,1,1,POINT (30.0720128412483 -20.3157389583467),30.07201284,-20.31573896,8,Maglas,Production,underground / Reef,Yes,,2018-02-20,tributery,Truck,40,0,,0,,Compressors Jack hammers Hoist (winches) Water pump,In a support village,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,EMA CID,Monthly,Some of them,Worksuits (overalls),Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-647c,12,IPIS,IPIS - ZELA 2019,zwemine00011,Nhamo57,2019-02-20,1,1,POINT (30.1106210217571 -20.321873921904),30.11062102,-20.32187392,13,Machovo,Production,underground / Reef,Yes,,2014-01-01,Cooperatives,Foot,10,0,,0,,Compressors Jack hammers,In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,land degradation,Rising prices Local vs foreigners,theft by foreigners who stole the ore,None,,CID,Irregularly,Some of them,Helmets,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-647b,13,IPIS,IPIS - ZELA 2019,zwemine00012,Tomboedza,2019-02-20,1,1,POINT (30.1104308044983 -20.3168935978157),30.1104308,-20.3168936,13,machobo,Exploration,underground / Reef,Yes,,2018-06-16,Individual,Foot,5,0,,0,,"Jack hammers Compressors pick,shovels,host, chisels",In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,land degradation,None,,None,,CID,Irregularly,Some of them,Gumboots Helmets,In the bush
